fps,steps,cfg,seed,latency,q_sem,q_shp,q_str,smooth
3,50,1.0,43,13.436098337173462,0.29453566670417786,3.8334692362695932,0.6891006827354431,538.644237836202
3,50,1.0,44,12.796358585357666,0.2797248065471649,3.682446200400591,0.7079218626022339,480.35521125793457
3,50,1.0,45,12.837207555770874,0.2959670424461365,4.0728808380663395,0.6701788306236267,628.1462491353353
4,50,1.0,43,16.5091290473938,0.29122766852378845,3.816354786977172,0.6958371996879578,385.7451853752136
4,50,1.0,44,16.480128288269043,0.2983281910419464,3.729860531166196,0.6835821866989136,433.2236535549164
4,50,1.0,45,16.596907138824463,0.2824750244617462,4.210031125694513,0.6537090539932251,597.5244789123535
5,50,1.0,43,21.17425513267517,0.28362828493118286,3.8066995330154896,0.7099387645721436,318.4655391693115
5,50,1.0,44,21.187156438827515,0.29002758860588074,3.7563140504062176,0.7248393297195435,366.79660778045655
5,50,1.0,45,21.131755352020264,0.2871810495853424,4.096386022865772,0.6704133749008179,436.6537281036377
6,50,1.0,43,24.88096284866333,0.2923414409160614,3.847528714686632,0.7232459783554077,279.7259511947632
6,50,1.0,44,24.91920304298401,0.29047906398773193,3.906013211235404,0.7397049069404602,350.14514748255414
6,50,1.0,45,24.881872415542603,0.2906855046749115,4.266458097845316,0.6704384088516235,365.4148205121358
7,50,1.0,43,29.737274169921875,0.2925921380519867,3.75616573728621,0.732053816318512,238.72569901602608
7,50,1.0,44,29.65607500076294,0.2963162362575531,3.701010951772332,0.7476486563682556,240.27608183452062
7,50,1.0,45,29.6513192653656,0.28533121943473816,4.183129873126745,0.6847517490386963,305.9554797581264
8,50,1.0,43,34.16742777824402,0.29045167565345764,4.064330365508795,0.7422698140144348,187.7430573105812
8,50,1.0,44,34.19956374168396,0.2963015139102936,3.7798734847456217,0.7437506318092346,188.1562443971634
8,50,1.0,45,34.118892431259155,0.29232776165008545,4.190586507320404,0.7110288143157959,214.28351080417633
9,50,1.0,43,38.72185492515564,0.28850245475769043,3.9241393096745014,0.7541215419769287,167.6413696606954
9,50,1.0,44,38.73906111717224,0.2943551540374756,3.8665912579745054,0.7551547288894653,176.45967494116888
9,50,1.0,45,38.81304097175598,0.29588985443115234,4.003637470304966,0.7200682759284973,188.5570754210154
10,50,1.0,43,43.732120990753174,0.2858057916164398,3.9263125509023666,0.7607129216194153,159.0136456489563
10,50,1.0,44,43.78077483177185,0.297512024641037,3.7428548093885183,0.7652667760848999,159.62533774375916
10,50,1.0,45,43.8667368888855,0.2928068935871124,3.965158946812153,0.7330272793769836,168.48572392463683
11,50,1.0,43,49.73060178756714,0.29014530777931213,3.8415398448705673,0.7664681673049927,140.87188584154302
11,50,1.0,44,49.63458490371704,0.2909923195838928,3.7568972911685705,0.7674026489257812,155.88249868696386
11,50,1.0,45,49.573620080947876,0.28871408104896545,3.9119627326726913,0.7479564547538757,153.53621859983966
12,50,1.0,43,54.92373204231262,0.2865296006202698,3.7745614536106586,0.762486457824707,116.44834918777148
12,50,1.0,44,54.95099759101868,0.2849426865577698,3.660863498225808,0.7705308198928833,137.59209886193275
12,50,1.0,45,54.950984477996826,0.29538291692733765,3.848596476018429,0.7509312033653259,125.7569332619508
8,3,1.0,43,7.097126483917236,0.2909988462924957,3.709611017256975,0.8559507131576538,170.81395395100117
8,3,1.0,44,7.084635972976685,0.2832687199115753,3.5989151801913977,0.8491453528404236,187.4554803520441
8,3,1.0,45,7.220172166824341,0.2887406051158905,3.5990378819406033,0.8546397089958191,156.78437768667936
8,5,1.0,43,8.51364278793335,0.29944226145744324,3.8826283998787403,0.7823598384857178,159.73605024814606
8,5,1.0,44,8.694420099258423,0.294512540102005,3.7273026537150145,0.7798082828521729,187.43472388386726
8,5,1.0,45,8.539297819137573,0.29687467217445374,4.319394007325172,0.7508959174156189,202.93711838126183
8,8,1.0,43,10.01522445678711,0.3017295300960541,3.7610260769724846,0.8067406415939331,151.8156914114952
8,8,1.0,44,9.977129459381104,0.2906259000301361,3.627533558756113,0.807310163974762,202.24685463309288
8,8,1.0,45,9.878224611282349,0.29416555166244507,3.8001344073563814,0.7991712093353271,173.32596983015537
8,10,1.0,43,11.449007987976074,0.29337963461875916,3.8562240079045296,0.7711209654808044,157.60522857308388
8,10,1.0,44,11.435692548751831,0.2957180142402649,3.6870131734758615,0.7719952464103699,182.5998137295246
8,10,1.0,45,11.399046897888184,0.2923887372016907,4.264065995812416,0.7354231476783752,194.49657675623894
8,15,1.0,43,14.304425716400146,0.29220810532569885,3.8131040055304766,0.7622765898704529,153.65897035598755
8,15,1.0,44,14.235653400421143,0.2965877652168274,3.6120207514613867,0.7642640471458435,170.44785144925117
8,15,1.0,45,14.278217554092407,0.29086410999298096,4.117562435567379,0.7279541492462158,195.33010643720627
8,20,1.0,43,17.159191370010376,0.29277870059013367,3.888762788847089,0.756435751914978,160.49545001983643
8,20,1.0,44,17.10713768005371,0.2958061993122101,3.6392558831721544,0.7574198246002197,173.54945468902588
8,20,1.0,45,17.162155628204346,0.29236385226249695,4.095416981726885,0.7256246209144592,197.34646025300026
8,30,1.0,43,22.84520173072815,0.2902218997478485,3.8793361745774746,0.7487300038337708,167.96141403913498
8,30,1.0,44,22.72185754776001,0.2958943545818329,3.5998234525322914,0.7532311081886292,172.2732219696045
8,30,1.0,45,22.816659212112427,0.29258352518081665,4.042881075292826,0.7195755839347839,196.0380842089653
8,40,1.0,43,28.453582048416138,0.2907189726829529,4.047216381877661,0.7423807382583618,182.42585164308548
8,40,1.0,44,28.529082775115967,0.2943572402000427,3.722356166690588,0.7457222938537598,185.90054401755333
8,40,1.0,45,28.556334018707275,0.29388508200645447,4.153937567025423,0.7138823866844177,206.17349830269814
8,50,1.0,43,34.118921995162964,0.29041263461112976,4.063330125063658,0.7416826486587524,189.41660809516907
8,50,1.0,44,34.23114275932312,0.29564547538757324,3.7774788215756416,0.7440117597579956,188.1802407503128
8,50,1.0,45,34.075613260269165,0.29221558570861816,4.182391334325075,0.7118590474128723,213.46334168314934
8,50,0.0,43,19.98206114768982,0.27891743183135986,3.5237823612987995,0.7858386039733887,99.44498808681965
8,50,0.0,44,20.00481605529785,0.2522934079170227,3.4518390893936157,0.7903019785881042,131.51513841748238
8,50,0.0,45,20.096451997756958,0.26679518818855286,3.6283982917666435,0.7572960257530212,118.15647377073765
8,50,0.2,43,22.817832469940186,0.29215458035469055,4.08127112314105,0.75093674659729,174.4557278752327
8,50,0.2,44,22.826869010925293,0.29720163345336914,3.7027897778898478,0.7536635994911194,175.07764247059822
8,50,0.2,45,22.837658405303955,0.29208624362945557,4.154917784035206,0.7165775299072266,201.99387946724892
8,50,0.3,43,24.232118368148804,0.2920340299606323,4.083017352968454,0.7459224462509155,181.81137001514435
8,50,0.3,44,24.242039680480957,0.29707005620002747,3.7749167531728745,0.7478892207145691,179.46180614829063
8,50,0.3,45,24.22760558128357,0.2926020324230194,4.190170671790838,0.7133240699768066,208.4265388250351
8,50,0.4,43,25.62939953804016,0.29129013419151306,4.09261416643858,0.7438386678695679,184.52032256126404
8,50,0.4,44,25.753596782684326,0.2961505055427551,3.786750603467226,0.7454096078872681,183.40362453460693
8,50,0.4,45,25.69882106781006,0.2927185893058777,4.207045305520296,0.7120545506477356,211.29425194859505
