video,prompt_id,prompt_name,prompt_difficulty,fps,steps,cfg,seed,latency,clip_score,clip_consistency,warp_error
scene_008_left-forward,1,Base Description,Easy,8,2,1.0,43,14.102009773254395,0.30468738079071045,0.9769576787948608,136.77694319540376
scene_008_left-forward,1,Base Description,Easy,8,2,1.0,44,13.462742328643799,0.30047786235809326,0.9714192748069763,139.27593542926456
scene_008_left-forward,1,Base Description,Easy,8,2,1.0,45,13.613206386566162,0.30605649948120117,0.96775221824646,135.76225854578288
scene_008_left-forward,1,Base Description,Easy,8,4,1.0,43,14.641184568405151,0.3090478777885437,0.9706981182098389,136.1505442924652
scene_008_left-forward,1,Base Description,Easy,8,4,1.0,44,14.500856637954712,0.3058169186115265,0.9674406051635742,138.4071575713656
scene_008_left-forward,1,Base Description,Easy,8,4,1.0,45,14.433117389678955,0.3093017637729645,0.9654771089553833,135.40303313244377
scene_008_left-forward,1,Base Description,Easy,8,6,1.0,43,16.754692554473877,0.30120155215263367,0.9720638990402222,136.24907853949227
scene_008_left-forward,1,Base Description,Easy,8,6,1.0,44,16.65666437149048,0.2957063317298889,0.9744841456413269,139.3659688143988
scene_008_left-forward,1,Base Description,Easy,8,6,1.0,45,16.650787830352783,0.3040238618850708,0.9759030342102051,135.71139519315818
scene_008_left-forward,1,Base Description,Easy,8,8,1.0,43,18.058855056762695,0.30246251821517944,0.9686679840087891,135.41315265287042
scene_008_left-forward,1,Base Description,Easy,8,8,1.0,44,18.14258337020874,0.302085280418396,0.9696516394615173,138.66835316661616
scene_008_left-forward,1,Base Description,Easy,8,8,1.0,45,17.99136209487915,0.303772896528244,0.9653182029724121,135.4994585344413
scene_008_left-forward,1,Base Description,Easy,8,10,1.0,43,20.06948685646057,0.2972363531589508,0.9651772975921631,135.63642871764722
scene_008_left-forward,1,Base Description,Easy,8,10,1.0,44,20.46374249458313,0.2958797812461853,0.9676451683044434,138.416516311698
scene_008_left-forward,1,Base Description,Easy,8,10,1.0,45,20.486239910125732,0.3022834062576294,0.9709280729293823,134.91209240649565
scene_008_left-forward,1,Base Description,Easy,8,12,1.0,43,21.610464334487915,0.3022282123565674,0.9700040221214294,135.42860450183403
scene_008_left-forward,1,Base Description,Easy,8,12,1.0,44,21.332379579544067,0.2951872944831848,0.9739154577255249,138.17318431069864
scene_008_left-forward,1,Base Description,Easy,8,12,1.0,45,21.817556142807007,0.30229243636131287,0.9737672209739685,134.8212551035478
scene_008_left-forward,1,Base Description,Easy,8,14,1.0,43,22.86371946334839,0.2981378138065338,0.9716331958770752,135.05772476198968
scene_008_left-forward,1,Base Description,Easy,8,14,1.0,44,22.432501316070557,0.2963697910308838,0.9736660718917847,138.21062443511894
scene_008_left-forward,1,Base Description,Easy,8,14,1.0,45,22.322011947631836,0.2998664677143097,0.9744580984115601,134.7367402013763
scene_008_left-forward,1,Base Description,Easy,8,16,1.0,43,25.00784683227539,0.2942318618297577,0.9675270915031433,135.1406388878133
scene_008_left-forward,1,Base Description,Easy,8,16,1.0,44,24.95866632461548,0.2920435667037964,0.9745539426803589,137.99911016104724
scene_008_left-forward,1,Base Description,Easy,8,16,1.0,45,25.183592796325684,0.29887259006500244,0.971099317073822,134.64582203746173
scene_008_left-forward,1,Base Description,Easy,8,20,1.0,43,28.443207263946533,0.29225850105285645,0.9666565656661987,134.84840823657083
scene_008_left-forward,1,Base Description,Easy,8,20,1.0,44,28.57615065574646,0.2901723384857178,0.9721153974533081,137.94052210871266
scene_008_left-forward,1,Base Description,Easy,8,20,1.0,45,28.554931163787842,0.296144038438797,0.9740263223648071,134.39268267854854
scene_008_left-forward,1,Base Description,Easy,8,30,1.0,43,36.393595695495605,0.2854468524456024,0.9722933173179626,134.87292027840704
scene_008_left-forward,1,Base Description,Easy,8,30,1.0,44,36.52636528015137,0.2871173322200775,0.9750630259513855,137.17729264931793
scene_008_left-forward,1,Base Description,Easy,8,30,1.0,45,36.76331281661987,0.2899361848831177,0.972495436668396,134.1749556664172
scene_008_left-forward,1,Base Description,Easy,8,30,0.0,43,24.58436608314514,0.2874095141887665,0.9768890142440796,135.73064745586998
scene_008_left-forward,1,Base Description,Easy,8,30,0.0,44,24.698341846466064,0.2875072956085205,0.9757139086723328,138.56054512255457
scene_008_left-forward,1,Base Description,Easy,8,30,0.0,45,24.70547914505005,0.29445314407348633,0.9728776812553406,134.99606568790725
scene_008_left-forward,1,Base Description,Easy,8,30,0.2,43,26.90639591217041,0.2869386374950409,0.9732089042663574,135.17717767721413
scene_008_left-forward,1,Base Description,Easy,8,30,0.2,44,26.88768458366394,0.28716370463371277,0.9755877256393433,137.71967062169506
scene_008_left-forward,1,Base Description,Easy,8,30,0.2,45,26.907465934753418,0.2936592400074005,0.9733953475952148,134.42687766946756
scene_008_left-forward,1,Base Description,Easy,8,30,0.3,43,28.09041404724121,0.28601711988449097,0.9697723388671875,135.0616006369927
scene_008_left-forward,1,Base Description,Easy,8,30,0.3,44,28.1525137424469,0.2855027914047241,0.9746190309524536,137.44036274149525
scene_008_left-forward,1,Base Description,Easy,8,30,0.3,45,28.28348445892334,0.29107049107551575,0.9762047529220581,134.19423256949605
scene_008_left-forward,1,Base Description,Easy,8,30,0.5,43,30.323009967803955,0.2883569598197937,0.9693188667297363,134.50394353568828
scene_008_left-forward,1,Base Description,Easy,8,30,0.5,44,30.46249032020569,0.2883860766887665,0.9749404788017273,137.3407233521817
scene_008_left-forward,1,Base Description,Easy,8,30,0.5,45,30.166565895080566,0.2910537123680115,0.9713994860649109,134.18673558946153
scene_008_left-forward,1,Base Description,Easy,8,30,0.8,43,33.79019021987915,0.2878423035144806,0.9717439413070679,134.5761650674435
scene_008_left-forward,1,Base Description,Easy,8,30,0.8,44,33.947035789489746,0.2872285842895508,0.975283145904541,137.44268862803494
scene_008_left-forward,1,Base Description,Easy,8,30,0.8,45,33.56750178337097,0.2913224399089813,0.9731407165527344,134.11369615574836
scene_008_left-forward,1,Base Description,Easy,8,30,1.0,43,36.70090889930725,0.2851121425628662,0.9696633219718933,134.69638664085966
scene_008_left-forward,1,Base Description,Easy,8,30,1.0,44,36.76167297363281,0.2883491814136505,0.973792314529419,137.29297249058087
scene_008_left-forward,1,Base Description,Easy,8,30,1.0,45,36.628820180892944,0.29070931673049927,0.9716014266014099,134.00046189931834
scene_008_left-forward,1,Base Description,Easy,2,30,1.0,43,9.024226427078247,0.2860987186431885,0.942007303237915,131.71419417419366
scene_008_left-forward,1,Base Description,Easy,2,30,1.0,44,9.014829635620117,0.2940724194049835,0.9406179189682007,133.59799324152755
scene_008_left-forward,1,Base Description,Easy,2,30,1.0,45,9.061502456665039,0.2778644561767578,0.9093470573425293,131.84978369388938
scene_008_left-forward,1,Base Description,Easy,3,30,1.0,43,14.520682096481323,0.2888345420360565,0.9538583159446716,134.7788624681559
scene_008_left-forward,1,Base Description,Easy,3,30,1.0,44,14.600928783416748,0.29560163617134094,0.9460229277610779,134.4710708985338
scene_008_left-forward,1,Base Description,Easy,3,30,1.0,45,14.668010950088501,0.30012625455856323,0.9458709955215454,134.34878077553154
scene_008_left-forward,1,Base Description,Easy,4,30,1.0,43,17.189537048339844,0.29064488410949707,0.9432705640792847,138.66850339580208
scene_008_left-forward,1,Base Description,Easy,4,30,1.0,44,17.00773525238037,0.2930809259414673,0.9511075019836426,137.5039662407231
scene_008_left-forward,1,Base Description,Easy,4,30,1.0,45,16.928171157836914,0.289433091878891,0.9542281031608582,136.35631924909907
scene_008_left-forward,1,Base Description,Easy,5,30,1.0,43,23.39333438873291,0.3013274073600769,0.9631830453872681,136.07701825662187
scene_008_left-forward,1,Base Description,Easy,5,30,1.0,44,23.32429790496826,0.2977157533168793,0.9621279835700989,138.1940335009075
scene_008_left-forward,1,Base Description,Easy,5,30,1.0,45,23.277286767959595,0.0,0.0,137.34783267528022
scene_008_left-forward,1,Base Description,Easy,6,30,1.0,43,26.19777202606201,0.29823049902915955,0.9589483737945557,136.4102701364882
scene_008_left-forward,1,Base Description,Easy,6,30,1.0,44,26.45811438560486,0.29232925176620483,0.9648855328559875,136.75123752486363
scene_008_left-forward,1,Base Description,Easy,6,30,1.0,45,26.572964906692505,0.2905285954475403,0.9643079042434692,136.034777878255
scene_008_left-forward,1,Base Description,Easy,7,30,1.0,43,33.31434679031372,0.293802410364151,0.9687197804450989,136.84817292503539
scene_008_left-forward,1,Base Description,Easy,7,30,1.0,44,33.367636919021606,0.28799474239349365,0.9695608019828796,138.53814482258588
scene_008_left-forward,1,Base Description,Easy,7,30,1.0,45,33.52344274520874,0.2873428463935852,0.9713937640190125,133.81607573765086
scene_008_left-forward,1,Base Description,Easy,8,30,1.0,43,36.47897481918335,0.2883121073246002,0.9687048196792603,134.61071467854038
scene_008_left-forward,1,Base Description,Easy,8,30,1.0,44,36.54826545715332,0.28826069831848145,0.9746381640434265,137.19609433705952
scene_008_left-forward,2,Weather: Rainy,Easy,8,2,1.0,44,13.375482559204102,0.27662792801856995,0.965681254863739,138.31716582523816
scene_008_left-forward,2,Weather: Rainy,Easy,8,2,1.0,45,13.448992013931274,0.2826436460018158,0.9592878222465515,134.53754450304714
scene_008_left-forward,2,Weather: Rainy,Easy,8,4,1.0,43,14.560324430465698,0.2820442318916321,0.9715763926506042,135.26820563236336
scene_008_left-forward,2,Weather: Rainy,Easy,8,4,1.0,44,14.598054885864258,0.2774714529514313,0.9652155637741089,137.7779245895712
scene_008_left-forward,2,Weather: Rainy,Easy,8,4,1.0,45,14.701498031616211,0.28408002853393555,0.9711434841156006,134.07927401299705
scene_008_left-forward,2,Weather: Rainy,Easy,8,6,1.0,43,16.792707681655884,0.28966253995895386,0.9682073593139648,135.35530195028085
scene_008_left-forward,2,Weather: Rainy,Easy,8,6,1.0,44,16.63975763320923,0.28417322039604187,0.9762861132621765,137.31147581622457
scene_008_left-forward,2,Weather: Rainy,Easy,8,6,1.0,45,16.795026540756226,0.29074299335479736,0.9700720310211182,131.84373013524123
scene_008_left-forward,2,Weather: Rainy,Easy,8,8,1.0,43,17.771897554397583,0.2781122922897339,0.9652920961380005,135.0167017130022
scene_008_left-forward,2,Weather: Rainy,Easy,8,8,1.0,44,17.994805335998535,0.28562289476394653,0.9699722528457642,136.57132767626254
scene_008_left-forward,2,Weather: Rainy,Easy,8,8,1.0,45,18.05687403678894,0.2820741534233093,0.9650839567184448,131.96323065235404
