video,prompt_id,prompt_name,prompt_difficulty,fps,steps,cfg,seed,latency,clip_score,clip_consistency,warp_error
scene_001_left-forward,1,Base Description,Easy,8,2,1.0,43,13.352332830429077,0.28671690821647644,0.9782788753509521,128.75011372554448
scene_001_left-forward,1,Base Description,Easy,8,2,1.0,44,13.563818454742432,0.28835129737854004,0.9805466532707214,130.5981714709128
scene_001_left-forward,1,Base Description,Easy,8,2,1.0,45,13.460662364959717,0.2883946895599365,0.9801024198532104,129.73186618147852
scene_001_left-forward,1,Base Description,Easy,8,4,1.0,43,14.278213500976562,0.27930396795272827,0.9804450869560242,129.17857785848798
scene_001_left-forward,1,Base Description,Easy,8,4,1.0,44,14.445970058441162,0.28542560338974,0.9799253344535828,130.93234149550673
scene_001_left-forward,1,Base Description,Easy,8,4,1.0,45,14.708675622940063,0.28170445561408997,0.9814857244491577,129.59106636252548
scene_001_left-forward,1,Base Description,Easy,8,6,1.0,43,16.864826202392578,0.29054754972457886,0.9795271158218384,129.40701832545474
scene_001_left-forward,1,Base Description,Easy,8,6,1.0,44,16.8188693523407,0.2864202857017517,0.9845447540283203,131.76891754037217
scene_001_left-forward,1,Base Description,Easy,8,6,1.0,45,16.76510763168335,0.28821849822998047,0.9838168025016785,129.35182503678573
scene_001_left-forward,1,Base Description,Easy,8,8,1.0,43,17.93952202796936,0.2839055359363556,0.9812621474266052,128.77930163299115
scene_001_left-forward,1,Base Description,Easy,8,8,1.0,44,18.14465308189392,0.2872733175754547,0.9837304949760437,130.70166737085785
scene_001_left-forward,1,Base Description,Easy,8,8,1.0,45,17.89492130279541,0.2859482169151306,0.9811339378356934,129.5170922254483
scene_001_left-forward,1,Base Description,Easy,8,10,1.0,43,20.242701768875122,0.28955957293510437,0.9819730520248413,129.0764330626201
scene_001_left-forward,1,Base Description,Easy,8,10,1.0,44,20.02251935005188,0.2877455949783325,0.9806568026542664,131.97059756435158
scene_001_left-forward,1,Base Description,Easy,8,10,1.0,45,20.38433051109314,0.2901631295681,0.983106255531311,129.48884961244138
scene_001_left-forward,1,Base Description,Easy,8,12,1.0,43,21.568772077560425,0.2861520051956177,0.9824435710906982,128.85885694236742
scene_001_left-forward,1,Base Description,Easy,8,12,1.0,44,21.443756580352783,0.28514185547828674,0.9823169112205505,131.2388844553608
scene_001_left-forward,1,Base Description,Easy,8,12,1.0,45,21.149924993515015,0.28289633989334106,0.9815994501113892,129.08897155002785
scene_001_left-forward,1,Base Description,Easy,8,14,1.0,43,22.435359001159668,0.28234487771987915,0.9805845022201538,128.78677137655635
scene_001_left-forward,1,Base Description,Easy,8,14,1.0,44,22.835118532180786,0.28566423058509827,0.983460545539856,130.67748976082268
scene_001_left-forward,1,Base Description,Easy,8,14,1.0,45,22.648527145385742,0.2845423221588135,0.9821392297744751,129.0836468454711
scene_001_left-forward,1,Base Description,Easy,8,16,1.0,43,25.06201457977295,0.28706538677215576,0.9830459356307983,128.7861803692393
scene_001_left-forward,1,Base Description,Easy,8,16,1.0,44,24.967512369155884,0.2857721745967865,0.982568621635437,131.40803026620026
scene_001_left-forward,1,Base Description,Easy,8,16,1.0,45,24.786577939987183,0.28598925471305847,0.9822356104850769,128.88952285565767
scene_001_left-forward,1,Base Description,Easy,8,20,1.0,43,28.390912294387817,0.28852540254592896,0.9829055070877075,128.65891874960064
scene_001_left-forward,1,Base Description,Easy,8,20,1.0,44,28.393967151641846,0.28830161690711975,0.9808709621429443,131.8410011857131
scene_001_left-forward,1,Base Description,Easy,8,20,1.0,45,28.365540027618408,0.2874259054660797,0.9815186262130737,128.91657196961623
scene_001_left-forward,1,Base Description,Easy,8,30,1.0,43,36.565577030181885,0.2859744429588318,0.9827378988265991,128.56111139191682
scene_001_left-forward,1,Base Description,Easy,8,30,1.0,44,36.59937405586243,0.2877080738544464,0.9799858331680298,131.35442176560545
scene_001_left-forward,1,Base Description,Easy,8,30,1.0,45,36.5369188785553,0.2860114872455597,0.9818665385246277,128.74875291111064
scene_001_left-forward,1,Base Description,Easy,8,30,0.0,43,24.797715425491333,0.28852882981300354,0.9814608097076416,128.18899368347581
scene_001_left-forward,1,Base Description,Easy,8,30,0.0,44,24.364391803741455,0.28708499670028687,0.9821690320968628,131.6730524863322
scene_001_left-forward,1,Base Description,Easy,8,30,0.0,45,24.461596488952637,0.28621822595596313,0.9795945882797241,129.22712622640609
scene_001_left-forward,1,Base Description,Easy,8,30,0.2,43,26.959692001342773,0.2871478199958801,0.9832577705383301,128.7445115627056
scene_001_left-forward,1,Base Description,Easy,8,30,0.2,44,26.918901205062866,0.2876414358615875,0.9818689823150635,131.60857115456776
scene_001_left-forward,1,Base Description,Easy,8,30,0.2,45,27.070208072662354,0.2871924638748169,0.9810104370117188,129.49548810715055
scene_001_left-forward,1,Base Description,Easy,8,30,0.3,43,28.007814407348633,0.2880576252937317,0.9799191355705261,128.5426062184917
scene_001_left-forward,1,Base Description,Easy,8,30,0.3,44,27.884909629821777,0.28931692242622375,0.9802681803703308,131.52100747294648
scene_001_left-forward,1,Base Description,Easy,8,30,0.3,45,27.803369522094727,0.28703171014785767,0.980726420879364,129.27981547766268
scene_001_left-forward,1,Base Description,Easy,8,30,0.5,43,30.144280195236206,0.28819379210472107,0.9825373888015747,128.41992511959901
scene_001_left-forward,1,Base Description,Easy,8,30,0.5,44,30.18145227432251,0.28730422258377075,0.9810704588890076,131.17846420040937
scene_001_left-forward,1,Base Description,Easy,8,30,0.5,45,30.319377183914185,0.2864721119403839,0.9819506406784058,129.2219600329314
scene_001_left-forward,1,Base Description,Easy,8,30,0.8,43,33.37349724769592,0.2877110242843628,0.9815791845321655,128.52423027333262
scene_001_left-forward,1,Base Description,Easy,8,30,0.8,44,33.58991718292236,0.2888638377189636,0.9811615943908691,131.2784937741682
