fps,steps,latency,quality_semantic,quality_sharpness,smoothness
4,50,14.1208655834198,0.2918681800365448,3.7629310972988605,541.5345458984375
5,50,17.45560359954834,0.2897340655326843,3.8052049931138754,377.8766059875488
6,50,21.815637826919556,0.285321980714798,3.791483584791422,316.3925693511963
7,50,21.857999324798584,0.2849400043487549,3.7833189126104116,320.06422061920165
8,50,25.837534427642822,0.294628769159317,3.833058290183544,280.0390137036641
9,50,30.378026723861694,0.2945035398006439,3.7710547912865877,234.4849977493286
10,50,35.24080562591553,0.2901808023452759,4.0337215177714825,189.8125565648079
11,50,35.256104469299316,0.2909204959869385,4.0445476770401,190.1421075463295
12,50,39.765785455703735,0.28653740882873535,3.8970073219388723,165.84712319903903
8,10,9.445894718170166,0.3019752502441406,3.822281491011381,292.1955825487773
8,15,11.541799545288086,0.3011372983455658,3.7689569871872663,269.53376785914105
8,20,13.5164155960083,0.2990887463092804,3.795730648562312,267.0672167142232
8,25,15.698824405670166,0.2981666624546051,3.842259757220745,269.32626724243164
8,30,17.7046480178833,0.2968009114265442,3.738904604688287,256.32501697540283
8,35,19.76107382774353,0.2933938801288605,3.6482501309365034,241.19604857762656
8,40,21.76602554321289,0.2955963909626007,3.859966527670622,268.19894456863403
8,45,23.91923451423645,0.2948544919490814,3.6730861756950617,243.70921023686728
