fps,steps,cfg,seed,latency,q_sem,q_shp,q_str,smooth
4,50,1.0,43,17.36866044998169,0.2907015383243561,3.8130409084260464,0.6963228583335876,384.7768015861511
4,50,1.0,44,16.542393445968628,0.29899629950523376,3.725940827280283,0.6839070320129395,431.7296760082245
4,50,1.0,45,16.610399961471558,0.28318658471107483,4.223210271447897,0.6544389724731445,599.9899640083313
6,50,1.0,43,24.868059158325195,0.29170355200767517,3.824662184342742,0.725907027721405,279.78910716374713
6,50,1.0,44,24.84324550628662,0.2903985381126404,3.910576459020376,0.7389155626296997,349.9730502764384
6,50,1.0,45,24.88630247116089,0.29105499386787415,4.274944309145212,0.6708670854568481,366.399455388387
8,50,1.0,43,34.185282707214355,0.29056382179260254,4.05441178008914,0.7419745922088623,189.13138937950134
8,50,1.0,44,34.06399178504944,0.29598698019981384,3.772465279325843,0.7439450621604919,188.22624704241753
8,50,1.0,45,34.183828353881836,0.2917630970478058,4.18683048337698,0.7110388278961182,214.24628087878227
10,50,1.0,43,43.676817655563354,0.28593289852142334,3.9169564843177795,0.7600404024124146,159.62187585830688
10,50,1.0,44,43.75304698944092,0.2973911166191101,3.7366612814366817,0.7657713890075684,159.50857411623002
10,50,1.0,45,43.81023859977722,0.294002890586853,3.944201860576868,0.7344086766242981,170.53195098638534
12,50,1.0,43,55.007818937301636,0.2865296006202698,3.7814718671143055,0.7621839046478271,115.88082104921341
12,50,1.0,44,54.93055987358093,0.28492701053619385,3.660560352727771,0.7704843282699585,136.98495917518935
12,50,1.0,45,54.948699712753296,0.2961694896221161,3.8587115705013275,0.7505258917808533,125.31799963116646
8,10,1.0,43,11.425490856170654,0.2937348186969757,3.852591384202242,0.7717443108558655,157.90844276547432
8,10,1.0,44,11.512611627578735,0.2956477105617523,3.687645308673382,0.7722603678703308,183.29740116000175
8,10,1.0,45,11.392163276672363,0.2922532260417938,4.283369053155184,0.7349108457565308,195.10343065857887
8,20,1.0,43,17.05605959892273,0.2931753098964691,3.911498934030533,0.7562249898910522,162.23363721370697
8,20,1.0,44,17.10369086265564,0.2956247329711914,3.6307391710579395,0.757863461971283,173.13865530490875
8,20,1.0,45,17.113630771636963,0.2928166091442108,4.094380885362625,0.7261506915092468,196.50785979628563
8,30,1.0,43,22.75971007347107,0.290683388710022,3.8810318801552057,0.7490301728248596,168.3862268924713
8,30,1.0,44,22.762282609939575,0.2960069179534912,3.60449799336493,0.7532663345336914,172.06445223093033
8,30,1.0,45,22.78086256980896,0.2926909625530243,4.052003845572472,0.7208681702613831,194.9895916581154
8,40,1.0,43,28.442447423934937,0.29004478454589844,4.036008846014738,0.7430246472358704,181.48870360851288
8,40,1.0,44,28.392486572265625,0.2946297228336334,3.72119783423841,0.7458273768424988,184.62580335140228
8,40,1.0,45,28.58579683303833,0.2920878231525421,4.15800791233778,0.714209794998169,207.21217319369316
8,50,1.0,43,34.161320209503174,0.2904442250728607,4.065949469804764,0.7415381073951721,188.221333861351
8,50,1.0,44,34.253143548965454,0.2956504225730896,3.7721602711826563,0.7440374493598938,188.33089357614517
8,50,1.0,45,34.15500807762146,0.2924049198627472,4.197224508970976,0.711837649345398,214.26576641201973
8,50,0.0,43,19.936156034469604,0.2785032093524933,3.5233062226325274,0.7858610153198242,99.57561458647251
8,50,0.0,44,20.00977611541748,0.2522788345813751,3.4500155597925186,0.7904223799705505,131.05431655049324
8,50,0.0,45,20.031163215637207,0.26709869503974915,3.6252059508115053,0.757121205329895,117.92762768268585
8,50,0.2,43,22.83108425140381,0.29243558645248413,4.08210139721632,0.7511237859725952,174.65052044391632
8,50,0.2,44,22.80951762199402,0.29691269993782043,3.696971107274294,0.7535862922668457,174.90321722626686
8,50,0.2,45,22.917147636413574,0.29195377230644226,4.163314122706652,0.7165433764457703,201.33484277129173
8,50,0.3,43,24.228049755096436,0.29224294424057007,4.082052037119865,0.745819628238678,182.06853276491165
8,50,0.3,44,24.26444673538208,0.29681751132011414,3.775404067710042,0.7472426891326904,181.4415666759014
8,50,0.3,45,24.261301517486572,0.29255759716033936,4.183413926512003,0.7137516736984253,208.04220724105835
8,50,0.4,43,25.705463409423828,0.2915356159210205,4.084830638021231,0.7429811954498291,185.69596523046494
8,50,0.4,44,25.64019513130188,0.2963433563709259,3.7825426552444696,0.7457718253135681,183.20624774694443
8,50,0.4,45,25.734172105789185,0.2925204634666443,4.205930978059769,0.711833119392395,210.72559347748756
8,50,0.5,43,27.090612411499023,0.29161757230758667,4.0464322082698345,0.7434747219085693,185.77482396364212
8,50,0.5,44,26.969248294830322,0.2958076596260071,3.7903101183474064,0.7442320585250854,185.64349281787872
8,50,0.5,45,27.002044677734375,0.292543888092041,4.199170507490635,0.7118374109268188,211.56197753548622
8,50,0.8,43,31.383848905563354,0.2911306321620941,4.032059106975794,0.742473840713501,187.8359295129776
8,50,0.8,44,31.24825429916382,0.2960379719734192,3.7815968971699476,0.7439852952957153,187.2504713833332
8,50,0.8,45,31.48116421699524,0.29274943470954895,4.195850808173418,0.7118660807609558,212.6963064968586
8,50,1.0,43,34.203856468200684,0.29048681259155273,4.049277398735285,0.7416794300079346,188.4259388446808
8,50,1.0,44,34.15191984176636,0.295756459236145,3.773745847865939,0.7435498833656311,188.062924772501
8,50,1.0,45,34.1221764087677,0.2924952208995819,4.195575136691332,0.7118979692459106,213.64418148994446
