fps,steps,total_latency,edge_latency,transmission_latency,cloud_latency,quality,warp_error
4,50,19.62715244293213,1.6600372791290283,2.8627891959373613,14.117881059646606,0.2915222644805908,375.08502292633057
5,50,23.45784068107605,1.3528308868408203,3.326927203762607,17.361482858657837,0.28569334745407104,316.52615394592283
6,50,27.88662338256836,1.6528546810150146,3.871856340106696,20.684051036834717,0.29065850377082825,278.6062657038371
7,50,32.7984185218811,2.389645576477051,4.5588843308061024,24.428212881088257,0.2843061089515686,232.34727478027344
8,50,37.81404662132263,2.537465810775757,5.057873181327551,28.51355504989624,0.2866564691066742,189.33171898126602
9,50,42.209428787231445,3.2759294509887695,5.344412692945953,32.117518186569214,0.28742924332618713,164.95941336949667
10,50,48.090678215026855,3.4266865253448486,6.158677738899539,36.688210010528564,0.2847568690776825,156.12742557525635
11,50,53.985453367233276,4.161957025527954,6.7267572737712245,41.542927503585815,0.28765904903411865,138.74040604721415
12,50,59.94869089126587,4.318539142608643,7.335759600581686,46.409239053726196,0.28826943039894104,116.28705644607544
8,10,14.831161975860596,2.5308656692504883,4.838089815849694,5.757483720779419,0.2859551012516022,153.77349799871445
8,15,17.847079753875732,2.5343997478485107,4.977657718963719,8.585217237472534,0.2849295735359192,152.6077075600624
8,20,20.720216512680054,2.541111469268799,5.066257276429901,11.407825708389282,0.2848154902458191,161.59340405464172
8,25,23.47790265083313,2.539736747741699,4.959707566349,14.265976428985596,0.28501957654953003,173.31304329633713
8,30,26.197640419006348,2.543729066848755,4.844612798600719,17.110029458999634,0.2864711880683899,165.98147171735764
8,35,29.097208738327026,2.5517539978027344,4.933465129177884,19.956324100494385,0.2847353219985962,160.7006203532219
8,40,32.1359601020813,2.539283514022827,5.041180550754323,22.816053867340088,0.2859300673007965,178.97087901830673
8,45,34.92500019073486,2.537334680557251,5.006417506026866,25.660101890563965,0.2861751317977905,167.0379176735878
